,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
9570,2011-11-11 00:00:00,Boise State Broncos,Colorado Christian,Taco Bell Arena,95,44,Boise State Broncos,Colorado Christian,REG,Taco Bell Arena,,,,,,,,,,,,
8090,2011-12-22 00:00:00,Weber State Wildcats,Utah,Dee Events Center,80,51,Weber State Wildcats,Utah,REG,Dee Events Center,,,,,,,,,,,,
10395,2011-12-03 00:00:00,Texas State Bobcats,Houston Baptist,Strahan Coliseum,103,76,Texas State Bobcats,Houston Baptist,REG,Strahan Coliseum,,,,,,,,,,,,
7198,2012-01-21 00:00:00,Boston College,Wake Forest Demon Deacons,Silvio O. Conte Forum,56,71,Wake Forest Demon Deacons,Boston College,REG,Silvio O. Conte Forum,,,,,,,,,,,,
10909,2011-11-30 00:00:00,Boise State Broncos,Drake,Taco Bell Arena,108,64,Boise State Broncos,Drake,REG,Taco Bell Arena,,,,,,,,,,,,
7975,2011-12-05 00:00:00,Boise State Broncos,Idaho State,Taco Bell Arena,79,55,Boise State Broncos,Idaho State,REG,Taco Bell Arena,,,,,,,,,,,,
9292,2011-12-28 00:00:00,Colorado Buffaloes,New Orleans,Coors Events/Conference Center,92,34,Colorado Buffaloes,New Orleans,REG,Coors Events/Conference Center,,,,,,,,,,,,
4598,2011-11-17 00:00:00,Arkansas State,UT-Martin Skyhawks,Convocation Center,63,45,Arkansas State,UT-Martin Skyhawks,REG,Convocation Center,,,,,,,,,,,,
6309,2012-01-21 00:00:00,Idaho State,Northern Arizona Lumberjacks,Holt Arena,78,62,Idaho State,Northern Arizona Lumberjacks,REG,Holt Arena,,,,,,,,,,,,
7323,2012-01-25 00:00:00,Oklahoma State,Missouri Tigers,Gallagher-Iba Arena,79,72,Oklahoma State,Missouri Tigers,REG,Gallagher-Iba Arena,,,,,,,,,,,,
7704,2011-12-10 00:00:00,IUPUI,Western Kentucky Hilltoppers,The Jungle,84,76,IUPUI,Western Kentucky Hilltoppers,REG,The Jungle,,,,,,,,,,,,
5593,2012-02-26 00:00:00,Stony Brook Seawolves,Maine,Pritchard Gymnasium,55,48,Stony Brook Seawolves,Maine,REG,Pritchard Gymnasium,,,,,,,,,,,,
5296,2012-01-31 00:00:00,Penn State,Wisconsin Badgers,Bryce Jordan Center,46,52,Wisconsin Badgers,Penn State,REG,Bryce Jordan Center,,,,,,,,,,,,
7317,2012-02-11 00:00:00,Southern Illinois-Edwardsville Cougars,Southeast Missouri State,Sam Vadalabene Center,72,85,Southeast Missouri State,Southern Illinois-Edwardsville Cougars,REG,Sam Vadalabene Center,,,,,,,,,,,,
6518,2012-02-25 00:00:00,Virginia Military Institute Keydets,Coastal Carolina,Cameron Hall,64,81,Coastal Carolina,Virginia Military Institute Keydets,REG,Cameron Hall,,,,,,,,,,,,
5671,2012-02-01 00:00:00,San Diego State (17),Boise State Broncos,Viejas Arena,58,56,San Diego State (17),Boise State Broncos,REG,Viejas Arena,,,,,,,,,,,,
4984,2011-11-24 00:00:00,Indiana State,Texas Tech Red Raiders,,60,49,Indiana State,Texas Tech Red Raiders,REG,,,,,,,,,,,,,
7283,2011-12-07 00:00:00,Missouri State,Oklahoma State Cowboys,JQH Arena,67,72,Oklahoma State Cowboys,Missouri State,REG,JQH Arena,,,,,,,,,,,,
5917,2011-12-23 00:00:00,Brown Bears,Maine,Pizzitola Sports Center,58,71,Maine,Brown Bears,REG,Pizzitola Sports Center,,,,,,,,,,,,
5410,2011-11-30 00:00:00,Nebraska Cornhuskers,Wake Forest,Bob Devaney Sports Center,53,55,Wake Forest,Nebraska Cornhuskers,REG,Bob Devaney Sports Center,,,,,,,,,,,,
6201,2011-11-14 00:00:00,San Diego,Stephen F. Austin Lumberjacks,Jenny Craig Pavillion,66,61,San Diego,Stephen F. Austin Lumberjacks,REG,Jenny Craig Pavillion,,,,,,,,,,,,
6799,2012-02-25 00:00:00,Wofford Terriers,Furman,Benjamin Johnson Arena,67,52,Wofford Terriers,Furman,REG,Benjamin Johnson Arena,,,,,,,,,,,,
6526,2012-02-29 00:00:00,Texas-Arlington,Texas A&M-Corpus Christi Islanders,College Park Center,78,64,Texas-Arlington,Texas A&M-Corpus Christi Islanders,REG,College Park Center,,,,,,,,,,,,
4703,2011-11-21 00:00:00,Boston College Eagles,Massachusetts,,46,82,Massachusetts,Boston College Eagles,REG,,,,,,,,,,,,,
5211,2012-02-16 00:00:00,North Texas,Louisiana-Monroe Warhawks,Super Pit,86,51,North Texas,Louisiana-Monroe Warhawks,REG,Super Pit,,,,,,,,,,,,
5513,2011-12-10 00:00:00,South Dakota State,North Dakota UND,Frost Arena,92,54,South Dakota State,North Dakota UND,REG,Frost Arena,,,,,,,,,,,,
6199,2012-02-18 00:00:00,South Alabama,Western Kentucky Hilltoppers,Mitchell Center,66,61,South Alabama,Western Kentucky Hilltoppers,REG,Mitchell Center,,,,,,,,,,,,
6683,2011-12-11 00:00:00,Boston College Eagles,Stony Brook,Silvio O. Conte Forum,66,51,Boston College Eagles,Stony Brook,REG,Silvio O. Conte Forum,,,,,,,,,,,,
7594,2012-02-01 00:00:00,Rice,UTEP Miners,Tudor Fieldhouse,77,75,Rice,UTEP Miners,REG,Tudor Fieldhouse,,,,,,,,,,,,
8415,2011-11-27 00:00:00,Oklahoma,Saint Louis Billikens,Anaheim Convention Center,63,83,Saint Louis Billikens,Oklahoma,REG,Anaheim Convention Center,,,,,,,,,,,,
4717,2011-12-29 00:00:00,Boston College Eagles,Harvard (24),Silvio O. Conte Forum,46,67,Harvard (24),Boston College Eagles,REG,Silvio O. Conte Forum,,,,,,,,,,,,
7301,2012-03-15 00:00:00,North Carolina-Asheville,Syracuse Orange,CONSOL Enegery Center,65,72,Syracuse Orange,North Carolina-Asheville,NCAA,CONSOL Enegery Center,,,,,,,,,,,,
5713,2011-12-10 00:00:00,Mississippi,Mississippi Valley State Delta Devils,C.M. Tad Smith Coliseum,80,56,Mississippi,Mississippi Valley State Delta Devils,REG,C.M. Tad Smith Coliseum,,,,,,,,,,,,
5526,2012-01-29 00:00:00,Boston College Eagles,Miami (FL),Silvio O. Conte Forum,54,76,Miami (FL),Boston College Eagles,REG,Silvio O. Conte Forum,,,,,,,,,,,,
5178,2012-03-03 00:00:00,Ball State,Northern Illinois Huskies,Worthen Arena,62,51,Ball State,Northern Illinois Huskies,REG,Worthen Arena,,,,,,,,,,,,
4782,2012-02-04 00:00:00,Mercer,South Carolina Upstate Spartans,University Center,61,47,Mercer,South Carolina Upstate Spartans,REG,University Center,,,,,,,,,,,,
6489,2011-11-20 00:00:00,Virginia Commonwealth,Western Kentucky Hilltoppers,,69,64,Virginia Commonwealth,Western Kentucky Hilltoppers,REG,,,,,,,,,,,,,
6594,2011-11-16 00:00:00,Bradley,Southeast Missouri State Redhawks,Carver Arena,66,65,Bradley,Southeast Missouri State Redhawks,REG,Carver Arena,,,,,,,,,,,,
5115,2012-01-19 00:00:00,Monmouth,Saint Francis (PA) Red Flash,Multipurpose Activity Center,68,50,Monmouth,Saint Francis (PA) Red Flash,REG,Multipurpose Activity Center,,,,,,,,,,,,
5732,2012-02-25 00:00:00,Wake Forest,Boston College Eagles,Lawrence Joel Coliseum,85,56,Wake Forest,Boston College Eagles,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
5702,2012-03-14 00:00:00,Fairfield,Yale Bulldogs,Arena at Harbor Yard,68,56,Fairfield,Yale Bulldogs,CIT,Arena at Harbor Yard,,,,,,,,,,,,
