,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
6781,2012-01-04 00:00:00,Evansville,Wichita State Shockers,Ford Center,66,67,Wichita State Shockers,Evansville,REG,Ford Center,,,,,,,,,,,,
9200,2011-11-16 00:00:00,Arkansas Razorbacks,Oakland,Bud Walton Arena,91,68,Arkansas Razorbacks,Oakland,REG,Bud Walton Arena,,,,,,,,,,,,
10212,2011-11-20 00:00:00,UNC Tar Heels,Mississippi Valley State,Dean Smith Center,101,75,UNC Tar Heels,Mississippi Valley State,REG,Dean Smith Center,,,,,,,,,,,,
10308,2011-11-22 00:00:00,UNC Tar Heels,Tennessee State,Dean Smith Center,102,69,UNC Tar Heels,Tennessee State,REG,Dean Smith Center,,,,,,,,,,,,
8787,2011-12-17 00:00:00,Michigan Wolverines,Alabama A&M,Crisler Arena,87,57,Michigan Wolverines,Alabama A&M,REG,Crisler Arena,,,,,,,,,,,,
8129,2012-02-18 00:00:00,Kent State,College of Charleston Cougars,Memorial Athletic & Convocation Center,73,80,College of Charleston Cougars,Kent State,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
6104,2011-12-01 00:00:00,Northern Colorado Bears,Westminster (UT),Butler Hancock Sports Pavilion,60,73,Westminster (UT),Northern Colorado Bears,REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
7286,2012-03-09 00:00:00,Mississippi,Tennessee Volunteers,,77,72,Mississippi,Tennessee Volunteers,CTOURN,,,,,,,,,,,,,
9771,2011-12-06 00:00:00,UNC Tar Heels,Evansville,Dean Smith Center,97,48,UNC Tar Heels,Evansville,REG,Dean Smith Center,,,,,,,,,,,,
8505,2012-01-04 00:00:00,Duquesne,St. Joseph's Hawks,A.J. Palumbo Center,82,84,St. Joseph's Hawks,Duquesne,REG,A.J. Palumbo Center,,,,,,,,,,,,
9816,2011-12-17 00:00:00,UNC Tar Heels,Appalachian State,Dean Smith Center,97,82,UNC Tar Heels,Appalachian State,REG,Dean Smith Center,,,,,,,,,,,,
9985,2011-12-19 00:00:00,UNC Tar Heels,Nicholls State,Dean Smith Center,99,49,UNC Tar Heels,Nicholls State,REG,Dean Smith Center,,,,,,,,,,,,
8301,2011-11-16 00:00:00,Oregon State Beavers,Hofstra,Gill Coliseum,82,72,Oregon State Beavers,Hofstra,REG,Gill Coliseum,,,,,,,,,,,,
10108,2012-01-08 00:00:00,Marist,Iona Gaels,McCann Recreation Center,76,100,Iona Gaels,Marist,REG,McCann Recreation Center,,,,,,,,,,,,
10283,2012-01-01 00:00:00,UNC Tar Heels,Monmouth,Dean Smith Center,102,65,UNC Tar Heels,Monmouth,REG,Dean Smith Center,,,,,,,,,,,,
8384,2012-02-18 00:00:00,Kansas Jayhawks,Texas Tech,Allen Fieldhouse,83,50,Kansas Jayhawks,Texas Tech,REG,Allen Fieldhouse,,,,,,,,,,,,
7383,2012-02-11 00:00:00,Texas-Arlington Mavericks,Texas State,College Park Center,73,53,Texas-Arlington Mavericks,Texas State,REG,College Park Center,,,,,,,,,,,,
5827,2012-01-21 00:00:00,Prairie View Panthers,Mississippi Valley State,William J. Nicks Building,57,81,Mississippi Valley State,Prairie View Panthers,REG,William J. Nicks Building,,,,,,,,,,,,
8303,2012-03-04 00:00:00,North Carolina-Greensboro,Western Carolina Catamounts,Asheville Civic Center,77,82,Western Carolina Catamounts,North Carolina-Greensboro,CTOURN,Asheville Civic Center,,,,,,,,,,,,
7498,2011-11-20 00:00:00,Temple,Wichita State Shockers,,78,74,Temple,Wichita State Shockers,REG,,,,,,,,,,,,,
9427,2012-01-29 00:00:00,UNC Tar Heels,Georgia Tech,Dean Smith Center,93,81,UNC Tar Heels,Georgia Tech,REG,Dean Smith Center,,,,,,,,,,,,
6906,2012-01-07 00:00:00,Northwestern State,Texas State Bobcats,Prather Coliseum,83,68,Northwestern State,Texas State Bobcats,REG,Prather Coliseum,,,,,,,,,,,,
8392,2011-11-11 00:00:00,Robert Morris Colonials,Rider,Charles L. Sewall Center,83,57,Robert Morris Colonials,Rider,REG,Charles L. Sewall Center,,,,,,,,,,,,
8510,2011-11-19 00:00:00,Virginia Military Institute Keydets,Maryland-Baltimore County,Cameron Hall,84,79,Virginia Military Institute Keydets,Maryland-Baltimore County,REG,Cameron Hall,,,,,,,,,,,,
7080,2012-02-12 00:00:00,Wright State Raiders,Milwaukee,Ervin J. Nutter Center,70,46,Wright State Raiders,Milwaukee,REG,Ervin J. Nutter Center,,,,,,,,,,,,
7396,2012-02-04 00:00:00,Prairie View Panthers,Texas Southern,William J. Nicks Building,73,67,Prairie View Panthers,Texas Southern,REG,William J. Nicks Building,,,,,,,,,,,,
7487,2011-11-11 00:00:00,Xavier Musketeers,Morgan State,Cintas Center,74,63,Xavier Musketeers,Morgan State,REG,Cintas Center,,,,,,,,,,,,
8705,2011-12-29 00:00:00,Tennessee Volunteers,Citadel,Thompson-Boling Arena,86,55,Tennessee Volunteers,Citadel,REG,Thompson-Boling Arena,,,,,,,,,,,,
5497,2012-02-15 00:00:00,UCLA,USC Trojans,L. A. Sports Arena,64,54,UCLA,USC Trojans,REG,L. A. Sports Arena,,,,,,,,,,,,
8910,2012-01-17 00:00:00,North Carolina-Asheville Bulldogs,Coastal Carolina,Kimmel Arena,88,81,North Carolina-Asheville Bulldogs,Coastal Carolina,REG,Kimmel Arena,,,,,,,,,,,,
8895,2012-01-02 00:00:00,Manhattan,Rider Broncs,Draddy Gymnasium,77,88,Rider Broncs,Manhattan,REG,Draddy Gymnasium,,,,,,,,,,,,
8591,2011-11-21 00:00:00,Minnesota Golden Gophers,Mount St. Mary's,Williams Arena,85,56,Minnesota Golden Gophers,Mount St. Mary's,REG,Williams Arena,,,,,,,,,,,,
6977,2011-11-17 00:00:00,Mississippi State Bulldogs,Texas A&M (19),,69,60,Mississippi State Bulldogs,Texas A&M (19),REG,,,,,,,,,,,,,
8296,2011-12-31 00:00:00,North Carolina State Wolfpack,Western Carolina,RBC Center,82,55,North Carolina State Wolfpack,Western Carolina,REG,RBC Center,,,,,,,,,,,,
7793,2012-01-16 00:00:00,Mississippi Valley State Delta Devils,Southern,Harrison HPER Complex,77,56,Mississippi Valley State Delta Devils,Southern,REG,Harrison HPER Complex,,,,,,,,,,,,
8791,2011-11-26 00:00:00,North Carolina-Asheville Bulldogs,Utah,,87,65,North Carolina-Asheville Bulldogs,Utah,REG,,,,,,,,,,,,,
7388,2012-01-02 00:00:00,Cal State Bakersfield,New Mexico State Aggies,Rabobank Arena,72,73,New Mexico State Aggies,Cal State Bakersfield,REG,Rabobank Arena,,,,,,,,,,,,
6805,2012-01-12 00:00:00,North Texas,Western Kentucky Hilltoppers,Super Pit,84,67,North Texas,Western Kentucky Hilltoppers,REG,Super Pit,,,,,,,,,,,,
10879,2011-11-11 00:00:00,Kentucky Wildcats,Marist,Rupp Arena,108,58,Kentucky Wildcats,Marist,REG,Rupp Arena,,,,,,,,,,,,
7606,2012-01-07 00:00:00,IPFW,Western Illinois Leathernecks,Allen County War Memorial Coliseum,65,75,Western Illinois Leathernecks,IPFW,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
8566,2011-11-19 00:00:00,Kentucky Wildcats,Penn State,,85,47,Kentucky Wildcats,Penn State,REG,,,,,,,,,,,,,
6272,2011-12-10 00:00:00,Wisconsin Badgers,Nevada-Las Vegas,Kohl Center,62,51,Wisconsin Badgers,Nevada-Las Vegas,REG,Kohl Center,,,,,,,,,,,,
8873,2011-12-18 00:00:00,Dallas Christian,Prairie View Panthers,,55,88,Prairie View Panthers,Dallas Christian,REG,,,,,,,,,,,,,
8799,2012-01-03 00:00:00,San Francisco Dons,Morgan State,War Memorial Gymnasium,87,74,San Francisco Dons,Morgan State,REG,War Memorial Gymnasium,,,,,,,,,,,,
8170,2011-12-07 00:00:00,Manhattan Jaspers,Fordham,Draddy Gymnasium,81,47,Manhattan Jaspers,Fordham,REG,Draddy Gymnasium,,,,,,,,,,,,
7385,2011-12-07 00:00:00,Butler,Xavier Musketeers,Hinkle Fieldhouse,61,73,Xavier Musketeers,Butler,REG,Hinkle Fieldhouse,,,,,,,,,,,,
7296,2012-02-15 00:00:00,Wofford Terriers,Elon,Benjamin Johnson Arena,72,59,Wofford Terriers,Elon,REG,Benjamin Johnson Arena,,,,,,,,,,,,
8789,2011-12-17 00:00:00,Kentucky Wildcats,Chattanooga,Rupp Arena,87,62,Kentucky Wildcats,Chattanooga,REG,Rupp Arena,,,,,,,,,,,,
8280,2012-03-10 00:00:00,Louisiana Tech,New Mexico State Aggies,Orleans Arena,57,82,New Mexico State Aggies,Louisiana Tech,CTOURN,Orleans Arena,,,,,,,,,,,,
8795,2011-12-05 00:00:00,DePaul,Milwaukee Panthers,Allstate Arena,76,87,Milwaukee Panthers,DePaul,REG,Allstate Arena,,,,,,,,,,,,
8702,2012-02-29 00:00:00,North Carolina-Asheville Bulldogs,High Point,Kimmel Arena,86,61,North Carolina-Asheville Bulldogs,High Point,CTOURN,Kimmel Arena,,,,,,,,,,,,
7003,2011-11-27 00:00:00,Jacksonville State,Weber State Wildcats,McKeon Pavilion,61,69,Weber State Wildcats,Jacksonville State,REG,McKeon Pavilion,,,,,,,,,,,,
7354,2012-01-03 00:00:00,Arkansas-Little Rock,Kentucky Wildcats,,51,73,Kentucky Wildcats,Arkansas-Little Rock,REG,,,,,,,,,,,,,
7981,2012-03-16 00:00:00,North Carolina State Wolfpack,San Diego State (22),,79,65,North Carolina State Wolfpack,San Diego State (22),NCAA,,,,,,,,,,,,,
6876,2012-01-21 00:00:00,Saint Louis Billikens,Duquesne,Chaifetz Arena,68,41,Saint Louis Billikens,Duquesne,REG,Chaifetz Arena,,,,,,,,,,,,
6597,2012-02-14 00:00:00,Green Bay,Youngstown State Penguins,Resch Center,71,65,Green Bay,Youngstown State Penguins,REG,Resch Center,,,,,,,,,,,,
8690,2011-12-10 00:00:00,Duke Blue Devils,Washington,,86,80,Duke Blue Devils,Washington,REG,,,,,,,,,,,,,
7802,2012-02-28 00:00:00,Youngstown State Penguins,Green Bay,Beeghly Center,77,60,Youngstown State Penguins,Green Bay,CTOURN,Beeghly Center,,,,,,,,,,,,
5785,2011-11-14 00:00:00,North Florida,Savannah State Tigers,UNF Arena,62,57,North Florida,Savannah State Tigers,REG,UNF Arena,,,,,,,,,,,,
7502,2012-02-16 00:00:00,Wagner Seahawks,Monmouth,Spiro Sports Center,74,67,Wagner Seahawks,Monmouth,REG,Spiro Sports Center,,,,,,,,,,,,
6985,2012-01-07 00:00:00,Tennessee-Martin,Southern Illinois-Edwardsville Cougars,Skyhawk Arena,65,69,Southern Illinois-Edwardsville Cougars,Tennessee-Martin,REG,Skyhawk Arena,,,,,,,,,,,,
8679,2012-02-09 00:00:00,Southeast Missouri State Redhawks,Tennessee-Martin,Show Me Center,86,56,Southeast Missouri State Redhawks,Tennessee-Martin,REG,Show Me Center,,,,,,,,,,,,
7875,2011-12-04 00:00:00,Maryland Terrapins,Notre Dame,,78,71,Maryland Terrapins,Notre Dame,REG,,,,,,,,,,,,,
6992,2011-11-20 00:00:00,Ohio Bobcats,Arkansas State,Convocation Center,69,54,Ohio Bobcats,Arkansas State,REG,Convocation Center,,,,,,,,,,,,
7790,2012-02-16 00:00:00,Mount St. Mary's Mountaineers,Fairleigh Dickinson,Knott Arena,77,63,Mount St. Mary's Mountaineers,Fairleigh Dickinson,REG,Knott Arena,,,,,,,,,,,,
7402,2012-01-19 00:00:00,Wofford Terriers,Appalachian State,Benjamin Johnson Arena,73,61,Wofford Terriers,Appalachian State,REG,Benjamin Johnson Arena,,,,,,,,,,,,
8409,2011-12-28 00:00:00,West Virginia Mountaineers,Villanova,WVU Coliseum,83,69,West Virginia Mountaineers,Villanova,REG,WVU Coliseum,,,,,,,,,,,,
7960,2012-03-01 00:00:00,Kentucky Wildcats,Georgia,Rupp Arena,79,49,Kentucky Wildcats,Georgia,REG,Rupp Arena,,,,,,,,,,,,
7490,2012-02-25 00:00:00,Stephen F. Austin Lumberjacks,Texas A&M-Corpus Christi,William Johnson Coliseum,74,41,Stephen F. Austin Lumberjacks,Texas A&M-Corpus Christi,REG,William Johnson Coliseum,,,,,,,,,,,,
6060,2012-02-09 00:00:00,Southern Utah Thunderbirds,Western Illinois,Centrum,60,44,Southern Utah Thunderbirds,Western Illinois,REG,Centrum,,,,,,,,,,,,
6499,2012-02-14 00:00:00,UC-Davis,Pacific Tigers,The Pavilion,73,64,UC-Davis,Pacific Tigers,REG,The Pavilion,,,,,,,,,,,,
8181,2012-03-03 00:00:00,Texas Tech,Missouri Tigers,United Spirit Arena,59,81,Missouri Tigers,Texas Tech,REG,United Spirit Arena,,,,,,,,,,,,
8788,2012-01-03 00:00:00,Texas Southern Tigers,Alcorn State,Health & Physical Education Arena,87,52,Texas Southern Tigers,Alcorn State,REG,Health & Physical Education Arena,,,,,,,,,,,,
10325,2012-03-23 00:00:00,Indiana (16),Kentucky Wildcats,Georgia Dome,90,102,Kentucky Wildcats,Indiana (16),NCAA,Georgia Dome,,,,,,,,,,,,
8307,2011-12-23 00:00:00,Ohio Bobcats,North Carolina A&T,Convocation Center,82,66,Ohio Bobcats,North Carolina A&T,REG,Convocation Center,,,,,,,,,,,,
6780,2012-03-05 00:00:00,Denver,Western Kentucky Hilltoppers,Summit Arena,63,67,Western Kentucky Hilltoppers,Denver,CTOURN,Summit Arena,,,,,,,,,,,,
8793,2012-03-01 00:00:00,Robert Morris Colonials,Monmouth,Charles L. Sewall Center,87,68,Robert Morris Colonials,Monmouth,CTOURN,Charles L. Sewall Center,,,,,,,,,,,,
7588,2011-11-14 00:00:00,Stanford Cardinal,Fresno State,Maples Pavilion,75,59,Stanford Cardinal,Fresno State,REG,Maples Pavilion,,,,,,,,,,,,
6566,2011-11-17 00:00:00,Tulsa Golden Hurricane,Western Kentucky,,65,49,Tulsa Golden Hurricane,Western Kentucky,REG,,,,,,,,,,,,,
7410,2012-01-19 00:00:00,St. Francis (NY),Wagner Seahawks,Pope Physical Education Center,61,73,Wagner Seahawks,St. Francis (NY),REG,Pope Physical Education Center,,,,,,,,,,,,
6077,2012-01-03 00:00:00,Wisconsin Badgers,Michigan State (10),Kohl Center,60,63,Michigan State (10),Wisconsin Badgers,REG,Kohl Center,,,,,,,,,,,,
5552,2012-03-08 00:00:00,Lamar Cardinals,Stephen F. Austin,,55,44,Lamar Cardinals,Stephen F. Austin,CTOURN,,,,,,,,,,,,,
6372,2012-02-02 00:00:00,Liberty Flames,Gardner-Webb,Vines Center,63,58,Liberty Flames,Gardner-Webb,REG,Vines Center,,,,,,,,,,,,
6488,2012-03-03 00:00:00,Alcorn State,Prairie View Panthers,Davey L. Whitney Complex,61,64,Prairie View Panthers,Alcorn State,REG,Davey L. Whitney Complex,,,,,,,,,,,,
6117,2011-12-31 00:00:00,New Mexico,Saint Louis Billikens,The Pit/Bob King Court,64,60,New Mexico,Saint Louis Billikens,REG,The Pit/Bob King Court,,,,,,,,,,,,
6214,2011-12-22 00:00:00,Syracuse (1),Tulane Green Wave,Carrier Dome,80,61,Syracuse (1),Tulane Green Wave,REG,Carrier Dome,,,,,,,,,,,,
4267,2011-11-19 00:00:00,Southern California,Cal Poly Mustangs,Galen Center,36,42,Cal Poly Mustangs,Southern California,REG,Galen Center,,,,,,,,,,,,
8367,2012-01-02 00:00:00,Sam Houston State Bearkats,Jarvis Christian,Johnson Coliseum,83,49,Sam Houston State Bearkats,Jarvis Christian,REG,Johnson Coliseum,,,,,,,,,,,,
6871,2011-11-25 00:00:00,Alabama-Birmingham,Wichita State Shockers,,46,68,Wichita State Shockers,Alabama-Birmingham,REG,,,,,,,,,,,,,
6770,2012-01-09 00:00:00,Air Force Falcons,Texas-Rio Grande Valley,Clune Arena,67,50,Air Force Falcons,Texas-Rio Grande Valley,REG,Clune Arena,,,,,,,,,,,,
7488,2012-03-06 00:00:00,North Texas,Western Kentucky Hilltoppers,Summit Arena,70,74,Western Kentucky Hilltoppers,North Texas,CTOURN,Summit Arena,,,,,,,,,,,,
5393,2012-01-21 00:00:00,Southeastern Louisiana Lions,Nicholls State,University Center,53,55,Nicholls State,Southeastern Louisiana Lions,REG,University Center,,,,,,,,,,,,
4490,2011-11-25 00:00:00,La Salle Explorers,Robert Morris,Tom Gola Arena,44,51,Robert Morris,La Salle Explorers,REG,Tom Gola Arena,,,,,,,,,,,,
5705,2012-01-21 00:00:00,Morehead State,UT-Martin Skyhawks,Ellis T. Johnson Arena,62,56,Morehead State,UT-Martin Skyhawks,REG,Ellis T. Johnson Arena,,,,,,,,,,,,
6404,2012-02-18 00:00:00,Cal State Bakersfield,San Diego Toreros,Rabobank Arena,72,63,Cal State Bakersfield,San Diego Toreros,REG,Rabobank Arena,,,,,,,,,,,,
4323,2012-01-31 00:00:00,Air Force Falcons,New Mexico,Clune Arena,42,81,New Mexico,Air Force Falcons,REG,Clune Arena,,,,,,,,,,,,
4981,2012-01-25 00:00:00,Alabama-Birmingham,Marshall Thundering Herd,,56,49,Alabama-Birmingham,Marshall Thundering Herd,REG,,,,,,,,,,,,,
6194,2012-02-11 00:00:00,Arizona,Utah Utes,McKale Center,70,61,Arizona,Utah Utes,REG,McKale Center,,,,,,,,,,,,
5884,2012-01-07 00:00:00,Wake Forest Demon Deacons,Virginia Tech,Lawrence Joel Coliseum,58,55,Wake Forest Demon Deacons,Virginia Tech,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
5885,2011-12-10 00:00:00,Towson Tigers,Maryland-Baltimore County,Towson Center,58,62,Maryland-Baltimore County,Towson Tigers,REG,Towson Center,,,,,,,,,,,,
6298,2011-12-06 00:00:00,Belmont,Tennessee State Tigers,Curb Event Center,75,62,Belmont,Tennessee State Tigers,REG,Curb Event Center,,,,,,,,,,,,
5913,2012-01-23 00:00:00,Georgia State,James Madison Dukes,GSU Sports Arena,74,58,Georgia State,James Madison Dukes,REG,GSU Sports Arena,,,,,,,,,,,,
5737,2012-02-23 00:00:00,UMKC Kangaroos,Oakland,Swinney Recreation Center,56,89,Oakland,UMKC Kangaroos,REG,Swinney Recreation Center,,,,,,,,,,,,
6589,2012-01-24 00:00:00,Vanderbilt Commodores,Tennessee,Memorial Gymnasium,65,47,Vanderbilt Commodores,Tennessee,REG,Memorial Gymnasium,,,,,,,,,,,,
6507,2011-11-18 00:00:00,Cleveland State,St. Bonaventure Bonnies,Henry J. Goodman Arena,67,64,Cleveland State,St. Bonaventure Bonnies,REG,Henry J. Goodman Arena,,,,,,,,,,,,
6884,2012-02-09 00:00:00,Minnesota,Wisconsin Badgers,Williams Arena,61,68,Wisconsin Badgers,Minnesota,REG,Williams Arena,,,,,,,,,,,,
9598,2011-11-12 00:00:00,Akron Zips,Hiram,James A. Rhodes Arena,95,65,Akron Zips,Hiram,REG,James A. Rhodes Arena,,,,,,,,,,,,
6007,2012-03-14 00:00:00,Oregon State,Western Illinois Leathernecks,Gill Coliseum,80,59,Oregon State,Western Illinois Leathernecks,CBI,Gill Coliseum,,,,,,,,,,,,
7727,2011-12-28 00:00:00,Iowa Hawkeyes,Purdue,Carver-Hawkeye Arena,76,79,Purdue,Iowa Hawkeyes,REG,Carver-Hawkeye Arena,,,,,,,,,,,,
8210,2011-11-16 00:00:00,Wake Forest Demon Deacons,Georgia Southern,Lawrence Joel Coliseum,81,72,Wake Forest Demon Deacons,Georgia Southern,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
5717,2012-02-23 00:00:00,Utah Valley,Houston Baptist Huskies,McKay Events Center,75,56,Utah Valley,Houston Baptist Huskies,REG,McKay Events Center,,,,,,,,,,,,
5403,2012-02-11 00:00:00,Texas-Arlington,Texas State Bobcats,College Park Center,73,53,Texas-Arlington,Texas State Bobcats,REG,College Park Center,,,,,,,,,,,,
6701,2012-01-07 00:00:00,Tulane Green Wave,Southern Mississippi,Avron B. Fogelman Arena,66,71,Southern Mississippi,Tulane Green Wave,REG,Avron B. Fogelman Arena,,,,,,,,,,,,
8800,2011-12-07 00:00:00,Davidson,Vanderbilt Commodores,Belk Arena,83,87,Vanderbilt Commodores,Davidson,REG,Belk Arena,,,,,,,,,,,,
9207,2011-11-12 00:00:00,Washington Huskies,Georgia State,Bank of America Arena,91,74,Washington Huskies,Georgia State,REG,Bank of America Arena,,,,,,,,,,,,
8902,2011-12-06 00:00:00,Kansas Jayhawks,Long Beach State,Allen Fieldhouse,88,80,Kansas Jayhawks,Long Beach State,REG,Allen Fieldhouse,,,,,,,,,,,,
7994,2011-11-19 00:00:00,Valparaiso Crusaders,Indiana-Kokomo,Athletics-Recreation Center,79,48,Valparaiso Crusaders,Indiana-Kokomo,REG,Athletics-Recreation Center,,,,,,,,,,,,
7626,2011-12-30 00:00:00,Florida State,Princeton Tigers,Donald L. Tucker Center,73,75,Princeton Tigers,Florida State,REG,Donald L. Tucker Center,,,,,,,,,,,,
6768,2012-01-01 00:00:00,Marshall,Akron Zips,Henderson Center,51,67,Akron Zips,Marshall,REG,Henderson Center,,,,,,,,,,,,
6579,2011-12-07 00:00:00,Purdue Boilermakers,Western Carolina,Mackey Arena,65,60,Purdue Boilermakers,Western Carolina,REG,Mackey Arena,,,,,,,,,,,,
5678,2012-03-11 00:00:00,St. Bonaventure,Xavier Musketeers,,67,56,St. Bonaventure,Xavier Musketeers,CTOURN,,,,,,,,,,,,,
6898,2011-11-15 00:00:00,Quinnipiac Bobcats,Yale,TD Bank Sports Center,68,62,Quinnipiac Bobcats,Yale,REG,TD Bank Sports Center,,,,,,,,,,,,
7112,2011-12-19 00:00:00,Rice Owls,Temple,Tudor Fieldhouse,70,77,Temple,Rice Owls,REG,Tudor Fieldhouse,,,,,,,,,,,,
8517,2012-01-21 00:00:00,Akron Zips,Kent State,James A. Rhodes Arena,84,75,Akron Zips,Kent State,REG,James A. Rhodes Arena,,,,,,,,,,,,
7095,2012-03-18 00:00:00,Lehigh,Xavier Musketeers,Greensboro Coliseum,58,70,Xavier Musketeers,Lehigh,NCAA,Greensboro Coliseum,,,,,,,,,,,,
8694,2012-02-18 00:00:00,South Dakota State Jackrabbits,Buffalo,Frost Arena,86,65,South Dakota State Jackrabbits,Buffalo,REG,Frost Arena,,,,,,,,,,,,
7772,2012-02-04 00:00:00,Akron Zips,Eastern Michigan,James A. Rhodes Arena,77,47,Akron Zips,Eastern Michigan,REG,James A. Rhodes Arena,,,,,,,,,,,,
6990,2011-12-27 00:00:00,Virginia Cavaliers,Maryland-Eastern Shore,John Paul Jones Arena,69,42,Virginia Cavaliers,Maryland-Eastern Shore,REG,John Paul Jones Arena,,,,,,,,,,,,
7583,2012-01-03 00:00:00,Seton Hall Pirates,Connecticut (8),Prudential Center,75,63,Seton Hall Pirates,Connecticut (8),REG,Prudential Center,,,,,,,,,,,,
7495,2011-11-13 00:00:00,Lipscomb,Gardner-Webb Runnin' Bulldogs,Allen Arena,71,74,Gardner-Webb Runnin' Bulldogs,Lipscomb,REG,Allen Arena,,,,,,,,,,,,
6197,2012-02-12 00:00:00,Georgetown (12),St. John's (NY) Red Storm,Verizon Center,71,61,Georgetown (12),St. John's (NY) Red Storm,REG,Verizon Center,,,,,,,,,,,,
8011,2011-11-19 00:00:00,Texas-Rio Grande Valley Vaqueros,Texas State,UTPA Fieldhouse,79,77,Texas-Rio Grande Valley Vaqueros,Texas State,REG,UTPA Fieldhouse,,,,,,,,,,,,
6229,2012-02-26 00:00:00,Ohio,Akron Zips,Convocation Center,85,61,Ohio,Akron Zips,REG,Convocation Center,,,,,,,,,,,,
7124,2011-11-28 00:00:00,Florida (10),Stetson Hatters,,96,70,Florida (10),Stetson Hatters,REG,,,,,,,,,,,,,
6195,2012-01-26 00:00:00,Pacific Tigers,Cal Poly,A.G. Spanos Center,61,51,Pacific Tigers,Cal Poly,REG,A.G. Spanos Center,,,,,,,,,,,,
7883,2011-12-27 00:00:00,North Texas Mean Green,New Orleans,Super Pit,78,47,North Texas Mean Green,New Orleans,REG,Super Pit,,,,,,,,,,,,
6393,2012-02-23 00:00:00,Santa Clara,Pepperdine Waves,Leavey Center,57,63,Pepperdine Waves,Santa Clara,REG,Leavey Center,,,,,,,,,,,,
7505,2012-01-28 00:00:00,IPFW,South Dakota State Jackrabbits,Allen County War Memorial Coliseum,43,74,South Dakota State Jackrabbits,IPFW,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
6406,2011-11-26 00:00:00,Sacramento State Hornets,McNeese State,Hornets Nest,63,68,McNeese State,Sacramento State Hornets,REG,Hornets Nest,,,,,,,,,,,,
10123,2011-11-15 00:00:00,Texas Longhorns,Rhode Island,Frank Erwin Center,100,90,Texas Longhorns,Rhode Island,REG,Frank Erwin Center,,,,,,,,,,,,
7623,2012-02-04 00:00:00,Nicholls State,Texas State Bobcats,David Stopher Gymnasium,96,75,Nicholls State,Texas State Bobcats,REG,David Stopher Gymnasium,,,,,,,,,,,,
4621,2011-11-23 00:00:00,Alabama (13),Alabama A&M Bulldogs,Coleman Coliseum,82,45,Alabama (13),Alabama A&M Bulldogs,REG,Coleman Coliseum,,,,,,,,,,,,
4485,2012-01-07 00:00:00,Idaho State Bengals,Montana,Holt Arena,44,68,Montana,Idaho State Bengals,REG,Holt Arena,,,,,,,,,,,,
5817,2012-02-27 00:00:00,South Carolina State Bulldogs,North Carolina Central,SHM Memorial Center,57,71,North Carolina Central,South Carolina State Bulldogs,REG,SHM Memorial Center,,,,,,,,,,,,
5511,2011-12-30 00:00:00,Texas Tech,Southeastern Louisiana Lions,United Spirit Arena,62,54,Texas Tech,Southeastern Louisiana Lions,REG,United Spirit Arena,,,,,,,,,,,,
6920,2011-11-22 00:00:00,Marist Red Foxes,Bucknell,McCann Recreation Center,68,74,Bucknell,Marist Red Foxes,REG,McCann Recreation Center,,,,,,,,,,,,
5935,2011-11-26 00:00:00,Central Connecticut State,Hartford Hawks,Detrick Gymnasium,92,58,Central Connecticut State,Hartford Hawks,REG,Detrick Gymnasium,,,,,,,,,,,,
5303,2012-02-26 00:00:00,Denver,North Texas Mean Green,Magness Arena,64,52,Denver,North Texas Mean Green,REG,Magness Arena,,,,,,,,,,,,
5577,2012-01-13 00:00:00,South Florida,Seton Hall Pirates,Sun Dome,56,55,South Florida,Seton Hall Pirates,REG,Sun Dome,,,,,,,,,,,,
6599,2012-02-25 00:00:00,Southern Illinois,Northern Iowa Panthers,The SIU Arena,61,65,Northern Iowa Panthers,Southern Illinois,REG,The SIU Arena,,,,,,,,,,,,
7020,2011-11-22 00:00:00,UC-Santa Barbara,Portland Pilots,The Thunderdome,83,69,UC-Santa Barbara,Portland Pilots,REG,The Thunderdome,,,,,,,,,,,,
5078,2012-01-11 00:00:00,Texas-San Antonio,Texas A&M-Corpus Christi Islanders,Convocation Center,49,50,Texas A&M-Corpus Christi Islanders,Texas-San Antonio,REG,Convocation Center,,,,,,,,,,,,
7023,2011-12-28 00:00:00,West Virginia,Villanova Wildcats,WVU Coliseum,83,69,West Virginia,Villanova Wildcats,REG,WVU Coliseum,,,,,,,,,,,,
6611,2012-01-15 00:00:00,Washington,Washington State Cougars,Bank of America Arena,75,65,Washington,Washington State Cougars,REG,Bank of America Arena,,,,,,,,,,,,
6231,2012-01-28 00:00:00,Alabama A&M Bulldogs,Texas Southern,Elmore Health Science Building,61,73,Texas Southern,Alabama A&M Bulldogs,REG,Elmore Health Science Building,,,,,,,,,,,,
6514,2011-12-31 00:00:00,Mississippi State (15),Utah State Aggies,Humphrey Coliseum,66,64,Mississippi State (15),Utah State Aggies,REG,Humphrey Coliseum,,,,,,,,,,,,
